name,address,PostCode,region,MemberNumber,dob,yearscustomer
Dennis Delgado,327-4125 Et Road,B0M 4JF,Nottinghamshire,TQ53Q33CI,1995-53-30,24
Rigel Booker,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",E7 7OM,Buckinghamshire,KJ97K25AN,1949-11-12,13
Nell Norton,1214 Eleifend Street,E2 3LW,Herefordshire,VV75U82YE,1998-29-03,10
Stuart Combs,427 Sed Rd.,CJ3 6RM,Yorkshire,MV22R13NH,1956-19-24,21
Deborah Parker,4526 Inceptos Street,K6 5GX,Bedfordshire,EJ42W07WD,1955-48-30,15
Luke Singleton,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",SL6H 5AE,Buteshire,UQ08P26ZK,2015-38-06,7
Clarke Rhodes,912-1493 Tempor Ave,E9 1FF,Shropshire,BP51V64XH,1938-19-27,5
Sacha Christensen,433-3745 Primis Ave,FN4O 4BM,Morayshire,XS84Q28XG,1940-57-18,4
Kibo Mcdowell,632-4635 In Rd.,N62 8RI,Perthshire,WQ45X56XL,1934-59-15,2
Marsden Hayden,9559 In Rd.,QS43 1WX,Bedfordshire,CT45A54TH,1916-20-11,7
Carolyn Trujillo,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",B3 1CJ,Banffshire,OK41Q32MS,1919-49-06,11
Montana Brewer,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",I2J 5GZ,Cumberland,WV74S22RT,1947-01-11,21
Wanda Chavez,Ap #270-6323 Egestas Rd.,IE4G 5JH,Montgomeryshire,HV57K79LV,1980-51-16,6
Lacey Daniels,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",Y7J 5SF,Carmarthenshire,NB05L26VC,1947-24-21,4
Lee Mcclain,954-2998 Neque Road,N38 3SD,Northumberland,EB46W00DS,1947-01-05,24
Willow Wolfe,3695 Curabitur Av.,U8N 4IE,Dumfriesshire,KA06C33HP,1955-34-30,0
Eve Nichols,910-3840 Quam Av.,UG79 2RY,Renfrewshire,KE28V97QN,1984-50-28,16
Kato Finley,823-9178 Magnis Rd.,GF81 5NI,Stirlingshire,EA22I16YE,1968-26-19,8
Rigel Dalton,183-231 Feugiat Street,WY37 4AC,Cumberland,WN78R43OJ,1987-17-12,17
Holmes Mcdonald,509-6628 Vehicula. Ave,KV8 6MC,Selkirkshire,BX05U30BF,1949-39-05,17
Basil Ballard,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",LY5 4RV,Radnorshire,FT43R41TE,1980-20-15,5
Akeem Guthrie,8155 Malesuada Av.,C97 1SW,Aberdeenshire,TG27U50GG,1987-38-29,1
Mohammad Chaney,632-8154 Enim Av.,Z7N 6DW,Leicestershire,NN42B67XJ,1944-44-19,1
Orla Powell,Ap #763-3390 Augue Ave,HL2 3TU,Nairnshire,KL11F18SG,1954-12-30,0
Lillith Kelly,389-6426 Elit. Road,EC2 3RU,Selkirkshire,AD82O51GM,2020-09-18,21
Zachery Sargent,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",S3 2NY,Merionethshire,EE12U56SU,1992-31-04,11
Asher Sandoval,Ap #445-5548 Neque Av.,F1 3IB,Renfrewshire,BQ61H26DK,1929-42-07,19
Portia Farmer,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",Z4W 4PB,Buteshire,IG12Z01ZY,1998-27-08,24
Plato Snow,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",TO11 7YT,Cornwall,GU52R44IX,1921-10-25,13
Kane Lester,357-1068 Purus. Rd.,T5 4VU,Essex,TL67P01XV,2016-05-11,5
Flavia Collins,Ap #881-8770 Ante Av.,P78 5CJ,Angus,BZ81U53RT,1946-59-21,2
Karen Shaw,Ap #476-3490 Mus. St.,U3 4XA,Kincardineshire,FC88Q86CT,2018-27-04,24
Zoe Mcfarland,"Vincent Avila,P.O. Box 482, 7194 Pede, Avenue,NJ76 5OP,Montgomeryshire,EA18K44TC,2010-08-06,0",FR0B 7JM,Carmarthenshire,TC27F82PQ,2009-07-20,23
Hamish Lancaster,267-4828 Posuere Avenue,I65 3JZ,Dunbartonshire,FU71L19FM,1976-20-26,18
Dacey Charles,802-3586 Nec St.,P6 9BK,Kinross-shire,LU57U94OO,1991-31-03,9
Aquila Hickman,630-4091 Enim. Ave,YE8I 4NE,Buckinghamshire,YF28Z69LW,1950-00-05,21
Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19
Selma Kirk,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",Y1 5XD,Sussex,TR51G71UR,1966-31-23,4
Tad Jefferson,644-9324 Nam St.,QM2V 8WY,Warwickshire,JX86C38DW,1959-17-19,16
Bruce Mercer,621-2571 Varius St.,K5 7HI,Morayshire,TB92G78JR,1973-37-05,4
Melinda Davis,9801 Venenatis Road,S42 2OM,Oxfordshire,NS13S76QF,2012-28-19,14
Bruno Stephenson,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",HE7U 8TC,Nottinghamshire,GJ47E47KP,1951-44-01,24
Yvonne Howard,834-9443 Et Av.,Z1A 9CI,Flintshire,HK25H82FG,1990-00-25,11
Carlos Maynard,913-7204 Lacus. Avenue,D21 3ZD,Perthshire,XR46I78UO,1944-42-10,20
Ulysses Schneider,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",D6 6UC,Northamptonshire,XX18M41ZW,1932-54-13,7
Oprah Anthony,357-5959 Sagittis Road,MR6I 5AR,East Lothian,HJ11K19WQ,1982-42-21,9
Giselle Buchanan,206-968 Vitae Ave,OO0 6ID,Banffshire,FW11C22MU,1985-40-12,21
Nomlanga Noel,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",LA8 2LL,Staffordshire,SD05E27TM,1959-27-05,6
Shea Suarez,Ap #848-5578 Semper St.,Q0X 9MW,Roxburghshire,AE36C32CY,1956-42-17,25
Malik Oliver,Ap #461-4280 Lobortis Avenue,TK8B 0ZZ,Pembrokeshire,JV53X54RA,1917-13-24,15
Fay Wong,155-6162 Integer Rd.,K5 5CX,Hertfordshire,VX88I84BB,2014-45-08,3
Diana Keller,570-515 Arcu. Rd.,KK59 4VN,Dorset,BD78I73DS,1984-23-01,18
Cecilia O'Neill,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",U47 4AC,Kincardineshire,HY41K67BY,1981-24-03,14
Aretha Harrell,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",E57 4EH,Midlothian,OF25V54PW,1973-27-25,21
Zia Ward,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",B3G 9QR,Selkirkshire,VN27T12DD,1988-53-21,24
Oscar Hardin,Ap #487-5745 Sit St.,L1 1JP,Berwickshire,IQ56X82LE,1945-27-16,8
Grace Benton,210-1336 Rutrum St.,D66 4JL,Montgomeryshire,JF44C30VJ,1978-16-23,11
Kato Schultz,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",A4I 5YJ,Carmarthenshire,CG81Y14HI,2012-28-27,15
Orson Mendez,Ap #264-3697 Sollicitudin Road,P24 2FP,Kirkcudbrightshire,AV37Z50BW,1929-39-30,22
Zenia Aguirre,548-2465 In Avenue,J69 7QO,Somerset,UT34N33LK,1980-14-01,18
Jade Saunders,Ap #416-6927 Nulla Avenue,MN5M 0XI,Kincardineshire,RQ30N14HL,1933-52-12,4
Neve Lynch,5818 Cras St.,U2 4PC,Herefordshire,HK13T26WH,1917-07-19,19
Lana Powers,641 Suscipit Road,P7 3UV,Buckinghamshire,XQ19C45GJ,2001-27-03,9
Stephanie Tyler,4133 Hymenaeos. Ave,KH3G 9VL,Leicestershire,MF11I35DT,1978-03-02,4
Reece Johns,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",MN3 4JV,Nottinghamshire,UL27J37IL,2010-52-22,22
Maryam Galloway,861-4138 Lorem Av.,IL57 6FI,Selkirkshire,PG67Y29JL,1960-04-13,16
Benjamin Frost,288-5030 Odio. Av.,M8 5BH,Flintshire,LM52D51HU,1914-34-15,6
Priscilla Marsh,5619 Consequat Ave,TS1 6QJ,Angus,BU34A12MB,2010-40-29,7
Angelica Holt,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",G58 9AV,Sutherland,BB27H06JP,1993-24-11,12
Miriam Ortiz,Ap #671-4633 Lobortis Road,Y85 8UB,Suffolk,RE78T02NO,1994-14-17,14
Palmer Horton,Ap #876-3633 Libero St.,DK1D 0NZ,Derbyshire,YT84U83GW,1933-19-03,0
Quyn Allison,3963 Aliquam Street,R81 1EM,Buckinghamshire,YI44N07SN,1947-40-14,19
Orlando Hendrix,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",UR22 2UT,Midlothian,CN81I21PB,2008-56-24,19
Vincent Franks,232-2461 Integer Avenue,J63 5QT,Cambridgeshire,AK23N61OR,1917-54-28,12
Uriel Spears,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",IL4 0VY,Staffordshire,KO88R27VY,1928-30-18,25
Kasimir Turner,Ap #381-2648 Proin Av.,PK2 4YO,Northamptonshire,GV85C73HQ,1964-12-04,0
Uma Cleveland,224-4306 Magna. St.,R7 4MF,Roxburghshire,PB09T02CI,2003-26-04,8
Conan Hopkins,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",H1W 2BI,Stirlingshire,JE24I77JN,1935-10-25,21
John Briggs,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",B4 3GD,Clackmannanshire,YP53X87FP,2012-28-14,12
Eve Kramer,Ap #135-8985 Arcu Road,E54 6HV,Wigtownshire,DS52I69XC,1958-16-09,25
Karly William,Ap #150-6701 Mollis Ave,CA69 1JO,Morayshire,CO64T29NQ,1937-38-19,18
Nicholas Snyder,Ap #671-7905 Maecenas Street,MJ6 3BM,Northamptonshire,EQ48H42FA,1987-17-21,1
Keaton Norris,335-1231 Nisi Road,Y3 7VP,Kent,TG80K31SY,1973-33-27,4
Illana Walsh,780-2436 Donec Ave,SW4 6PI,Gloucestershire,MH85Y54YO,1994-58-01,6
Cherokee Haney,"Odette Dodson,Ap #601-9808 Est Road,R6O 1PX,Stirlingshire,XB68P38RW,1930-57-01,19",CO36 6RD,Dorset,WP12X92LO,1968-37-23,6
